Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 12/21  00:15:00,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.06639009231784,-18.25075344685377,-18.939932990058254,-18.78155214463186,-19.14624463316933 
 12/21  00:30:00,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.06640629647051,-18.250754163703648,-18.93994322213794,-18.78155632666659,-19.146261664079885 
 12/21  00:45:00,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.066422431337167,-18.25075487748842,-18.939953410477928,-18.781560490823126,-19.146278622214603 
 12/21  01:00:00,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.066438497213946,-18.250755588221208,-18.939963555259739,-18.78156463717471,-19.1462955078841 
 12/21  01:15:00,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.066454494395669,-18.25075629591504,-18.939973656670305,-18.781568765798768,-19.146312321397667 
 12/21  01:30:00,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.066470423175898,-18.250757000582906,-18.93998371490261,-18.78157287677743,-19.14632906306327 
 12/21  01:45:00,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.06648628384697,-18.25075770223774,-18.939993730132956,-18.781576970177868,-19.146345733187578 
 12/21  02:00:00,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.066502076699999,-18.25075840089242,-18.940003702547445,-18.7815810460786,-19.146362332075954 
 12/21  02:15:00,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.06651780202482,-18.250759096559773,-18.940013632328204,-18.781585104554439,-19.14637886003244 
 12/21  02:30:00,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.066533460110028,-18.25075978925256,-18.940023519661169,-18.781589145679108,-19.146395317359806 
