Time,THERMAL ZONE 1:DENVER CENTENNIAL  GOLDEN   N ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:DENVER CENTENNIAL  GOLDEN   N ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:DENVER CENTENNIAL  GOLDEN   N ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:DENVER CENTENNIAL  GOLDEN   N ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,1.131694E+04,2.987686E+03,5.838085E-01,2.304639E-01
00:20:00,1.131683E+04,2.955604E+03,5.838025E-01,2.279894E-01
00:30:00,1.131671E+04,2.923055E+03,5.837966E-01,2.254789E-01
00:40:00,1.131660E+04,2.890498E+03,5.837908E-01,2.229680E-01
00:50:00,1.131649E+04,2.858252E+03,5.837849E-01,2.204813E-01
01:00:00,1.131637E+04,2.826558E+03,5.837792E-01,2.180372E-01
01:10:00,1.131639E+04,2.786296E+03,5.837798E-01,2.149322E-01
01:20:00,1.131640E+04,2.747290E+03,5.837804E-01,2.119242E-01
01:30:00,1.131641E+04,2.709642E+03,5.837810E-01,2.090207E-01
01:40:00,1.131642E+04,2.673416E+03,5.837816E-01,2.062267E-01
01:50:00,1.131643E+04,2.638672E+03,5.837822E-01,2.035468E-01
02:00:00,1.131644E+04,2.605461E+03,5.837827E-01,2.009850E-01
02:10:00,1.131645E+04,2.573202E+03,5.837833E-01,1.984967E-01
02:20:00,1.131646E+04,2.541823E+03,5.837838E-01,1.960762E-01
02:30:00,1.131647E+04,2.511319E+03,5.837843E-01,1.937231E-01
02:40:00,1.131648E+04,2.481697E+03,5.837849E-01,1.914382E-01
02:50:00,1.131649E+04,2.452967E+03,5.837854E-01,1.892220E-01
03:00:00,1.131650E+04,2.425134E+03,5.837859E-01,1.870751E-01
03:10:00,1.131651E+04,2.397578E+03,5.837864E-01,1.849495E-01
03:20:00,1.131652E+04,2.370224E+03,5.837869E-01,1.828394E-01
03:30:00,1.131653E+04,2.343038E+03,5.837874E-01,1.807423E-01
03:40:00,1.131654E+04,2.315998E+03,5.837878E-01,1.786566E-01
03:50:00,1.131655E+04,2.289092E+03,5.837883E-01,1.765811E-01
04:00:00,1.131656E+04,2.262311E+03,5.837888E-01,1.745153E-01
04:10:00,1.131657E+04,2.236285E+03,5.837892E-01,1.725077E-01
