Time,THERMAL ZONE 1::Des Heat Load [W],THERMAL ZONE 1:PARIS_ ORLY ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1::Des Heat Mass Flow [kg/s],THERMAL ZONE 1:PARIS_ ORLY ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,0.000000E+00,7.696989E+02,0.000000E+00,6.187474E-02
00:20:00,0.000000E+00,7.441346E+02,0.000000E+00,5.981967E-02
00:30:00,0.000000E+00,7.183272E+02,0.000000E+00,5.774503E-02
00:40:00,0.000000E+00,6.923962E+02,0.000000E+00,5.566046E-02
00:50:00,0.000000E+00,6.664453E+02,0.000000E+00,5.357427E-02
01:00:00,0.000000E+00,6.405731E+02,0.000000E+00,5.149440E-02
01:10:00,0.000000E+00,6.153613E+02,0.000000E+00,4.946762E-02
01:20:00,0.000000E+00,5.906263E+02,0.000000E+00,4.747917E-02
01:30:00,0.000000E+00,5.662673E+02,0.000000E+00,4.552095E-02
01:40:00,0.000000E+00,5.422833E+02,0.000000E+00,4.359286E-02
01:50:00,0.000000E+00,5.186654E+02,0.000000E+00,4.169422E-02
02:00:00,0.000000E+00,4.953987E+02,0.000000E+00,3.982380E-02
02:10:00,0.000000E+00,4.722291E+02,0.000000E+00,3.796120E-02
02:20:00,0.000000E+00,4.491434E+02,0.000000E+00,3.610533E-02
02:30:00,0.000000E+00,4.262937E+02,0.000000E+00,3.426845E-02
02:40:00,0.000000E+00,4.037227E+02,0.000000E+00,3.245398E-02
02:50:00,0.000000E+00,3.814705E+02,0.000000E+00,3.066513E-02
03:00:00,0.000000E+00,3.595696E+02,0.000000E+00,2.890453E-02
03:10:00,0.000000E+00,3.378328E+02,0.000000E+00,2.715714E-02
03:20:00,0.000000E+00,3.162849E+02,0.000000E+00,2.542493E-02
03:30:00,0.000000E+00,2.949497E+02,0.000000E+00,2.370982E-02
03:40:00,0.000000E+00,2.738525E+02,0.000000E+00,2.201386E-02
03:50:00,0.000000E+00,2.530228E+02,0.000000E+00,2.033940E-02
04:00:00,0.000000E+00,2.324988E+02,0.000000E+00,1.868953E-02
04:10:00,0.000000E+00,2.125629E+02,0.000000E+00,1.708694E-02
04:20:00,0.000000E+00,1.933417E+02,0.000000E+00,1.554180E-02
04:30:00,0.000000E+00,1.745233E+02,0.000000E+00,1.402905E-02
04:40:00,0.000000E+00,1.560629E+02,0.000000E+00,1.254509E-02
04:50:00,0.000000E+00,1.378892E+02,0.000000E+00,1.108417E-02
05:00:00,0.000000E+00,1.199322E+02,0.000000E+00,9.640680E-03
05:10:00,0.000000E+00,1.027493E+02,0.000000E+00,8.259429E-03
05:20:00,0.000000E+00,8.626862E+01,0.000000E+00,6.934625E-03
05:30:00,0.000000E+00,7.081456E+01,0.000000E+00,5.692351E-03
05:40:00,0.000000E+00,5.644250E+01,0.000000E+00,4.537059E-03
05:50:00,0.000000E+00,4.323029E+01,0.000000E+00,3.475006E-03
06:00:00,0.000000E+00,3.122852E+01,0.000000E+00,2.510256E-03
06:10:00,0.000000E+00,5.601004E+01,0.000000E+00,4.502254E-03
06:20:00,0.000000E+00,8.099719E+01,0.000000E+00,6.510880E-03
06:30:00,0.000000E+00,1.064433E+02,0.000000E+00,8.556389E-03
06:40:00,0.000000E+00,1.321666E+02,0.000000E+00,1.062417E-02
06:50:00,0.000000E+00,1.581536E+02,0.000000E+00,1.271314E-02
07:00:00,0.000000E+00,1.843962E+02,0.000000E+00,1.482266E-02
07:10:00,0.000000E+00,1.751405E+02,0.000000E+00,1.407872E-02
07:20:00,0.000000E+00,1.669582E+02,0.000000E+00,1.342095E-02
07:30:00,0.000000E+00,1.596324E+02,0.000000E+00,1.283204E-02
07:40:00,0.000000E+00,1.533898E+02,0.000000E+00,1.233021E-02
07:50:00,0.000000E+00,1.482973E+02,0.000000E+00,1.192083E-02
08:00:00,0.000000E+00,1.444409E+02,0.000000E+00,1.161082E-02
08:10:00,0.000000E+00,1.413863E+02,0.000000E+00,1.136527E-02
08:20:00,0.000000E+00,1.393076E+02,0.000000E+00,1.119817E-02
08:30:00,0.000000E+00,1.383805E+02,0.000000E+00,1.112364E-02
08:40:00,0.000000E+00,1.387620E+02,0.000000E+00,1.115430E-02
08:50:00,0.000000E+00,1.405818E+02,0.000000E+00,1.130059E-02
09:00:00,0.000000E+00,1.439430E+02,0.000000E+00,1.157077E-02
09:10:00,0.000000E+00,1.486820E+02,0.000000E+00,1.195172E-02
09:20:00,0.000000E+00,1.547323E+02,0.000000E+00,1.243807E-02
09:30:00,0.000000E+00,1.621025E+02,0.000000E+00,1.303054E-02
09:40:00,0.000000E+00,1.707383E+02,0.000000E+00,1.372473E-02
09:50:00,0.000000E+00,1.805944E+02,0.000000E+00,1.451703E-02
10:00:00,0.000000E+00,1.916841E+02,0.000000E+00,1.540848E-02
10:10:00,0.000000E+00,2.040103E+02,0.000000E+00,1.639934E-02
10:20:00,0.000000E+00,2.175728E+02,0.000000E+00,1.748959E-02
10:30:00,0.000000E+00,2.322794E+02,0.000000E+00,1.867181E-02
10:40:00,0.000000E+00,2.480981E+02,0.000000E+00,1.994343E-02
10:50:00,0.000000E+00,2.649921E+02,0.000000E+00,2.130150E-02
11:00:00,0.000000E+00,2.828698E+02,0.000000E+00,2.273864E-02
11:10:00,0.000000E+00,3.014784E+02,0.000000E+00,2.423454E-02
11:20:00,0.000000E+00,3.207334E+02,0.000000E+00,2.578241E-02
11:30:00,0.000000E+00,3.405380E+02,0.000000E+00,2.737447E-02
11:40:00,0.000000E+00,3.607084E+02,0.000000E+00,2.899594E-02
11:50:00,0.000000E+00,3.814171E+02,0.000000E+00,3.066068E-02
12:00:00,0.000000E+00,4.026141E+02,0.000000E+00,3.236467E-02
12:10:00,0.000000E+00,4.244493E+02,0.000000E+00,3.411998E-02
12:20:00,0.000000E+00,4.469027E+02,0.000000E+00,3.592498E-02
12:30:00,0.000000E+00,4.699582E+02,0.000000E+00,3.777838E-02
12:40:00,0.000000E+00,4.936788E+02,0.000000E+00,3.968524E-02
12:50:00,0.000000E+00,5.177639E+02,0.000000E+00,4.162141E-02
13:00:00,0.000000E+00,5.421285E+02,0.000000E+00,4.358004E-02
13:10:00,0.000000E+00,5.665995E+02,0.000000E+00,4.554722E-02
13:20:00,0.000000E+00,5.910598E+02,0.000000E+00,4.751355E-02
13:30:00,0.000000E+00,6.153923E+02,0.000000E+00,4.946960E-02
13:40:00,0.000000E+00,6.394759E+02,0.000000E+00,5.140563E-02
13:50:00,0.000000E+00,6.631798E+02,0.000000E+00,5.331114E-02
14:00:00,0.000000E+00,6.863500E+02,0.000000E+00,5.517374E-02
14:10:00,0.000000E+00,7.086140E+02,0.000000E+00,5.696348E-02
14:20:00,0.000000E+00,7.300829E+02,0.000000E+00,5.868931E-02
14:30:00,0.000000E+00,7.509124E+02,0.000000E+00,6.036373E-02
14:40:00,0.000000E+00,7.711571E+02,0.000000E+00,6.199113E-02
14:50:00,0.000000E+00,7.908736E+02,0.000000E+00,6.357606E-02
15:00:00,0.000000E+00,8.101439E+02,0.000000E+00,6.512510E-02
15:10:00,0.000000E+00,8.290995E+02,0.000000E+00,6.664884E-02
15:20:00,0.000000E+00,8.475664E+02,0.000000E+00,6.813330E-02
15:30:00,0.000000E+00,8.653416E+02,0.000000E+00,6.956214E-02
15:40:00,0.000000E+00,8.823406E+02,0.000000E+00,7.092859E-02
15:50:00,0.000000E+00,8.984995E+02,0.000000E+00,7.222751E-02
16:00:00,0.000000E+00,9.137656E+02,0.000000E+00,7.345465E-02
16:10:00,0.000000E+00,9.283273E+02,0.000000E+00,7.462517E-02
16:20:00,0.000000E+00,9.421488E+02,0.000000E+00,7.573619E-02
16:30:00,0.000000E+00,9.551835E+02,0.000000E+00,7.678396E-02
16:40:00,0.000000E+00,9.673442E+02,0.000000E+00,7.776148E-02
16:50:00,0.000000E+00,9.786599E+02,0.000000E+00,7.867108E-02
17:00:00,0.000000E+00,9.891287E+02,0.000000E+00,7.951259E-02
17:10:00,0.000000E+00,9.986227E+02,0.000000E+00,8.027576E-02
17:20:00,0.000000E+00,1.007508E+03,0.000000E+00,8.099001E-02
17:30:00,0.000000E+00,1.015968E+03,0.000000E+00,8.167006E-02
17:40:00,0.000000E+00,1.024180E+03,0.000000E+00,8.233016E-02
17:50:00,0.000000E+00,1.032284E+03,0.000000E+00,8.298150E-02
18:00:00,0.000000E+00,1.040406E+03,0.000000E+00,8.363438E-02
18:10:00,0.000000E+00,1.048591E+03,0.000000E+00,8.429231E-02
18:20:00,0.000000E+00,1.056529E+03,0.000000E+00,8.493039E-02
18:30:00,0.000000E+00,1.064089E+03,0.000000E+00,8.553808E-02
